FGST01F-SW-107,10.129.2.107,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-108,10.129.2.108,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-109,10.129.2.109,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-110,10.129.2.110,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-111,10.129.2.111,Italy/Foggia/Foggia-plant,WS-C3560G-24PS-S,12.2(55)SE6,test,0
FGST01F-SW-112,10.129.2.112,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-113,10.129.2.113,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-114,10.129.2.114,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-115,10.129.2.115,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-116,10.129.2.116,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-117,10.129.2.117,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-118,10.129.2.118,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-119,10.129.2.119,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-120,10.129.2.120,Italy/Foggia/Foggia-plant,WS-C3560G-24PS-S,12.2(55)SE6,test,0
FGST01F-SW-121,10.129.2.121,Italy/Foggia/Foggia-plant,WS-C3560V2-48PS-S,12.2(55)SE6,test,0
FGST01F-SW-122,10.129.2.122,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-123,10.129.2.123,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-124,10.129.2.124,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-125,10.129.2.125,Italy/Foggia/Foggia-plant,WS-C2960X-24PD-L,15.2(6)E,test,0
FGST01F-SW-VG-201,10.129.2.201,Italy/Foggia/Foggia-plant,WS-C3560V2-24PS-S,12.2(55)SE6,test,0
ITMELPT-CED-SERVICE-SW-126,10.135.2.126,Italy/Potenza/Melfi-plant,C9300-24T,17.9.4a,test,0
ITMELPT-CED-SW-127,10.135.2.127,Italy/Potenza/Melfi-plant,C9300L-24UXG-4X,17.9.4a,test,0
ITMUGPT-Y-SW-101,10.136.2.101,Italy/Trieste/Muggia-plant,C9200-24P,17.9.4a,test,0
ITRUBSUGPT-E-SW-100,10.134.2.100,Italy/Parma/Rubbiano-sughi,C9300LM-48UX-4Y,17.9.4a,test,0
MNST01F-SW-01,10.131.2.1,Italy/Mantova/Castiglione-delle-Stiviere-plant,WS-C3850-24X-E,16.6.7,test,0
